54,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
nb,nb,od,thickness,hub-x,hub-a,thd thk,lapped thk,wn thk,SO Bore,rf dia,rf height,rtj rf dia,rtj rf height,ring no,dist betwn flgs,socket depth,nb,pcd,no of bolts,bolt size unc,mc bolt length,rf sb length,rtj sb len,hole size,iso sb size,wn kg,so kg,bld kg,hole size for calc,nb,Lapped Bore,hub rad,lapped rad,bld thk,rtj pitch dia,rtj depth,rtj width,rtj root rad,bolts wt rf,bolts wt rtj,long neck id,long neck od,weld flat,lapped thk,dim,dim,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/4,8,N/A,N/A,N/A,13.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/8,10,N/A,N/A,N/A,17.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+1/2,15,95,12.7,38,21.3,21,22,51,22.2,34.9,2,51,5.54,R11,3,10,0+1/2,66.7,4,0+1/2,55,65,75,0+5/8,14,1.4,1.2,1.4,15.875,0+1/2,22.9,N/A,N/A,12.7,34.14,5.54,7.14,0.8,0.5,0.54,12.7,38,1.6,14.3,53,56.54,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
0+3/4,20,115,14.3,48,26.7,24,25,56,27.7,42.9,2,63.5,6.35,13,4,11,0+3/4,82.6,4,0+5/8,65,75,90,0+3/4,16,1.4,1.4,1.4,19.05,0+3/4,28.2,N/A,N/A,14.3,42.88,6.35,8.74,0.8,0.71,0.79,19.05,48,1.6,15.9,58,62.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1,25,125,15.9,54,33.4,25,27,60,34.5,50.8,2,70,6.35,16,4,13,1,88.9,4,0+5/8,65,75,90,0+3/4,16,1.8,1.4,1.4,19.05,1,34.9,N/A,N/A,15.9,50.8,6.35,8.74,0.8,0.71,0.79,25.4,54,1.6,17.5,62,66.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/4,32,135,17.5,64,42.2,25,27,64,43.2,63.5,2,79.5,6.35,18,4,14,1+1/4,98.4,4,0+5/8,70,85,95,0+3/4,16,2.3,1.8,1.8,19.05,1+1/4,43.7,N/A,N/A,17.5,60.33,6.35,8.74,0.8,0.77,0.82,31.75,64,1.6,19.1,66,70.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
1+1/2,40,155,19.1,70,48.3,29,30,67,49.5,73,2,90.5,6.35,20,4,16,1+1/2,114.3,4,0+3/4,75,90,100,0+7/8,20,3.2,2.7,2.7,22.225,1+1/2,50,N/A,N/A,19.1,68.27,6.35,8.74,0.8,1.37,1.45,38.1,70,1.6,20.7,69,73.35,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
2,50,165,20.7,84,60.3,32,33,68,61.9,92.1,2,108,7.92,23,6,17,2,127,8,0+5/8,75,90,100,0+3/4,16,4.1,3.2,3.7,19.05,2,62.5,N/A,N/A,20.7,82.55,7.92,11.91,0.8,1.59,1.69,50.8,84,1.6,22.3,70,75.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
2+1/2,65,190,23.9,100,73,37,38,75,74.6,104.8,2,127,7.92,26,6,19,2+1/2,149.2,8,0+3/4,85,100,115,0+7/8,20,5.5,4.6,5.5,22.225,2+1/2,75.4,N/A,N/A,23.9,101.6,7.92,11.91,0.8,2.91,3.16,63.5,100,1.6,25.4,77,82.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3,80,210,27,117,88.9,41,43,78,90.7,127,2,146,7.92,31,6,21,3,168.3,8,0+3/4,90,110,120,0+7/8,20,6.8,5.9,7.3,22.225,3,91.4,N/A,N/A,27,123.83,7.92,11.91,0.8,3.08,3.24,76.2,117,1.6,28.6,80,85.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
3+1/2,90,230,28.6,133,101.6,43,44,79,103.4,139.7,2,159,7.92,34,6,N/A,3+1/2,184.2,8,0+3/4,95,110,125,0+7/8,20,8.2,7.7,9.6,22.225,3+1/2,104.1,N/A,N/A,28.6,131.78,7.92,11.91,0.8,3.08,3.32,88.9,133,1.6,30.2,81,86.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
4,100,255,30.2,146,114.3,46,48,84,116.8,157.2,2,175,7.92,37,6,N/A,4,200,8,0+3/4,95,115,125,0+7/8,20,11.4,10,12.3,22.225,4,116.8,N/A,N/A,30.2,149.23,7.92,11.91,0.8,3.16,3.32,101.6,146,1.6,31.8,86,91.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
5,125,280,33.4,178,141.3,49,51,97,143.8,185.7,2,210,7.92,41,6,N/A,5,235,8,0+3/4,110,120,135,0+7/8,20,14.6,12.7,15.9,22.225,5,144.4,N/A,N/A,33.4,180.98,7.92,11.91,0.8,3.24,3.48,127,178,1.6,35,99,104.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
6,150,320,35,206,168.3,51,52,97,170.7,215.9,2,241,7.92,45,6,N/A,6,269.9,12,0+3/4,110,120,140,0+7/8,20,19.1,17.7,22.7,22.225,6,171.4,N/A,N/A,35,211.12,7.92,11.91,0.8,4.86,5.36,152.4,206,1.6,36.6,99,104.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
8,200,380,39.7,260,219.1,60,62,110,221.5,269.9,2,302,7.92,49,6,N/A,8,330.2,12,0+7/8,120,140,150,1,24,31,26,36,25.4,8,222.2,N/A,N/A,39.7,269.88,7.92,11.91,0.8,8.29,8.65,203.2,260,1.6,41.3,112,117.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
10,250,445,46.1,321,273,65,95,116,276.2,323.8,2,356,7.92,53,6,N/A,10,387.4,16,1,140,160,170,1+1/8,27,42,36,57,28.575,10,277.4,N/A,N/A,46.1,323.85,7.92,11.91,0.8,16.25,16.87,254,321,1.6,47.7,118,123.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
12,300,520,49.3,375,323.8,71,102,129,327,381,2,413,7.92,57,6,N/A,12,450.8,16,1+1/8,145,170,185,1+1/4,30,64,52,84,31.75,12,328.2,N/A,N/A,49.3,381,7.92,11.91,0.8,21.77,22.87,304.8,375,1.6,50.8,131,136.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
14,350,585,52.4,425,355.6,75,111,141,359.2,412.8,2,457,7.92,61,6,N/A,14,514.4,20,1+1/8,160,180,190,1+1/4,30,82,75,113,31.75,14,360.2,N/A,N/A,52.4,419.1,7.92,11.91,0.8,28.14,29.07,355.6,425,1.6,54,143,148.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
16,400,650,55.6,483,406.4,81,121,144,410.5,469.9,2,508,7.92,65,6,N/A,16,571.5,20,1+1/4,165,190,205,1+3/8,33,113,86,134,34.925,16,411.2,N/A,N/A,55.6,469.9,7.92,11.91,0.8,36.21,37.94,406.4,483,1.6,57.2,146,151.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
18,450,710,58.8,533,457,87,130,157,461.8,533.4,2,575,7.92,69,6,N/A,18,628.6,24,1+1/4,170,195,210,1+3/8,33,145,113,181,34.925,18,462.3,N/A,N/A,58.8,533.4,7.92,11.91,0.8,44.16,46.22,457.2,533,1.6,60.4,159,164.92,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
20,500,775,62,587,508,94,140,160,513.1,584.2,2,635,9.53,73,6,N/A,20,685.8,24,1+1/4,185,205,220,1+3/8,33,182,143,230,34.925,20,514.4,N/A,N/A,62,584.2,9.53,13.49,1.5,45.52,47.59,508,587,1.6,63.5,162,169.53,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
22,550,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,0,0,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
24,600,915,68.3,702,610,105,153,167,616,692.2,2,749,11.13,77,6,N/A,24,812.8,24,1+1/2,205,230,255,1+5/8,39,264,216,359,41.275,24,616,N/A,N/A,68.3,692.15,11.13,16.66,1.5,76.1,81.11,609.6,702,1.6,69.9,169,178.13,holes,dia,37.5*,23*,Stub-End see,As Required,Buttwelded Fittings
